id_order,nombre
1,Accipitriformes
2,Anseriformes
3,Apodiformes
4,Caprimulgiformes
5,Cathartiformes
6,Charadriiformes
7,Ciconiiformes
8,Columbiformes
9,Coraciiformes
10,Cuculiformes
11,Eurypygiformes
12,Falconiformes
13,Galbuliformes
14,Galliformes
15,Galliformes 
16,Gruiformes
17,Passeriformes
18,Pelecaniformes
19,Phaethontiformes
20,Phoenicopteriformes
21,Piciformes
22,Podicipediformes
23,Procellariiformes
24,Psittaciformes
25,Strigiformes
26,Suliformes
27,Tinamiformes
28,Trogoniformes
